ಎರಡು	[eraḍu]\nдва
ಆರು	[āru]\nшесть
ಏಳು	[семь]\nēḷu
ಅನೇಕ	[anēka]\nмного
ಮಗ	[maga]\nсын
ಮಗಳು	[magaḷu]\nдочь
ತಾಯಿ	[tāyi]\nмать
ಸಹೋದರಿ	[sahōdari]\nсестра
ಸಹೋದರ	[sahōdara]\nбрат
ಹಲೋ	[halō]\nпривет
ಕಾರು	[kāru]\nмашина
ಬಸ್	[bas]\nавтобус
ಹೋಟೆಲು	[hōṭelu]\nгостиница
ಗಂಡ	[gaṇḍa]\nмужчина, муж
ಮನೆ	[mane]\nдом
ನದಿ	[nadi]\nрека
ಕಡಲತೀರ	[kaḍalatīra]\nберег моря
ಕೈ	[kai]\nрука
ಕಾಲು	[kālu]\nнога
ತಲೆ	[tale]\nголова
ಬೆರಳು	[beraḷu]\nпалец
ಮೂಗು	[mūgu]\nнос
ಮುಖ	[mukha]\nлицо
ದಿನ	[dina]\nдень
ವಾರ	[vāra]\nнеделя
ತಿಂಗಳು	[tiṅgaḷu]\nмесяц
ನಗರ	[nagara]\nгород
ದೇಶ	[dēśa]\nстрана
ಪ್ರಾಣಿ	[prāṇi]\nживотное
ಬೆಕ್ಕು	[bekku]\nкошка
ನಾಯಿ	[nāyi]\nсобака
ನರಿ	[nari]\nлиса
ತೋಳ	[tōḷa]\nволк
ಮೊಲ	[mola]\nзаяц
ಕೋತಿ	[kōti]\nобезьяна
ಹಾವು	[hāvu]\nзмея
ಆಮೆ	[āme]\nчерепаха
ಮೀನು	[mīnu]\nрыба
ಹಕ್ಕಿ	[hakki]\nптица
ಮೃಗ	[mr̥ga]\nзверь
ದೇಹ	[dēha]\nтело
ತೋಳು	[tōḷu]\nрука (плечо)
ಕಣ್ಣು	[kaṇṇu]\nглаз
ಕಿವಿ	[kivi]\nухо
ಮುಷ್ಟಿ	[muṣṭi]\nкулак
ಹೃದಯ	[hr̥daya]\nсердце
ನೀರು	[nīru]\nвода
ಚಹ	[caha]\nчай
ಹಾಲು	[hālu]\nмолоко
ಕಾಫಿ	[kāphi]\nкофе
ಬೀರ್	[bīr]\nпиво
ಪೆಟ್ಟಿಗೆ	[peṭṭige]\nкоробка
ಚೀಲ	[cīla]\nсумка
ಕಾಗದ	[kāgada]\nбумага
ಹಣ್ಣುಗಳು	[haṇṇugaḷu]\nфрукты
ಸೇಬು	[sēbu]\nяблоко
ಬಾಳೆಹಣ್ಣು	[bāḷehaṇṇu]\nбанан
ಕಿತ್ತಳೆ	[kittaḷe]\nапельсин
ದ್ರಾಕ್ಷಿ	[drākṣi]\nвиноград
ಮಾವಿನಹಣ್ಣು	[māvinahaṇṇu]\nманго (фрукт манго)
ನಾನು	[nānu]\nя
ಮತ್ತು	[mattu]\nи (союз)
ನೀನು	[nīnu]\nты
ನವಿಬ್ಬರು	[navibbaru]\nмы двое
ಅವನು	[avanu]\nон
